,word,freq,embed_pca_x,embed_pca_y,embed_tsne_x,embed_tsne_y
261,M309,7,-0.4388931895281996,-0.3417733985657197,3.640204429626465,-15.238319396972656
263,M470,2,0.08243947343933346,-0.31566435163137807,10.52358341217041,0.6244207620620728
264,M262,40,-1.277804654387826,-1.4813636877057577,31.960073471069336,-14.901240348815918
265,M380,30,-0.48447621189982226,-1.5461948097179834,34.14896774291992,-14.053970336914062
278,M383,9,-1.6726630237879627,-0.8825515643919339,14.691057205200195,-30.812135696411133
279,M046,36,-2.813459943276744,0.7478377279229478,-7.4610466957092285,-38.9326171875
280,M005,18,-2.1642577397835097,1.0093235606628062,-6.9449567794799805,-37.4929313659668
282,M099,39,0.020571015872971027,-1.4982187767991777,39.128746032714844,-13.2841796875
283,M390,34,0.4966991877896549,-1.0425996733613574,38.03074264526367,-13.312176704406738
286,M310,11,-0.34187845234574993,-0.675519595336768,20.611650466918945,-2.4927587509155273
287,M384,10,-0.8902392609790057,-1.190355273733155,22.74837875366211,-25.312721252441406
289,M201,2,-0.04846301470884445,0.19041860324778082,-14.209753036499023,-0.5385909676551819
290,M311,2,0.47551173036307454,-0.4523384765076248,23.3875789642334,9.583941459655762
295,M286,17,-1.683241726896286,-1.4502726008411897,20.821033477783203,-29.434986114501953
297,M501,1,0.7213148847120886,-0.013365010831766484,5.382040500640869,32.1759033203125
313,M348,45,-0.754709844018218,-0.7792434996504435,21.234054565429688,-17.12826919555664
314,M104,4,-0.01798315332901981,-0.7400379395998723,24.602750778198242,-1.1934739351272583
316,M037,6,0.6484469769827097,-0.2677318239918468,19.775850296020508,28.166749954223633
334,M145,20,-1.3769302774611698,-0.6720204753842309,10.184600830078125,-31.029150009155273
341,M175,34,-1.1471058462683648,-1.727617893782369,21.212539672851562,-28.819862365722656
344,M375,2,0.5637611522530275,0.07442038377733338,18.933605194091797,30.992481231689453
356,M223,30,-0.9612856198534381,-0.5217040544991872,24.857988357543945,-14.772842407226562
