,word,freq,x,y
454,M369,15,-1.353366456870263,-0.3031706145605911
456,M146,41,-0.7694413899230491,-1.874469325990465
467,M461,2,0.2522574945980094,-0.5110337704454955
469,M244,6,-1.1212404461211503,-0.34142369773957876
472,M035,11,0.5502461980432214,-0.6537220399756749
474,M129,3,0.08710223266161389,-0.14161772634663056
476,M112,7,-0.5676452972229907,-0.18130396356692574
479,M327,31,-2.436495375507224,-0.26301617954269013
487,M193,7,-0.48274118887120954,0.23565395159416846
488,M455,1,0.548961081819824,0.01936876007461661
492,M090,2,0.34351437209179153,-0.42463782884058654
508,M221,12,-0.48790407044594364,-0.5367882843404965
511,M208,9,-1.5473062973170018,-0.28943926291485134
521,M147,15,-0.242947646355065,-1.3171321914570706
529,M131,22,-0.3779361297886991,-1.4347264854097064
543,M222,12,-0.4327509284263945,-1.1490621592613404
544,M010,13,-1.2830706756586163,-0.6158471429369848
552,M109,18,0.06575318862085008,-0.880177132251159
565,M024,46,-0.10632358861909197,-1.422471127095369
566,M482,4,-0.6962484704038063,-0.17998091769220867
582,M142,2,0.16903038038793303,0.7648408537553373
583,M103,9,-0.37155124234122083,-1.206522447815207
590,M243,7,-1.6470419834934669,0.5199565348476601
607,M224,5,0.33980694324928556,-0.46217862510571717
614,M012,4,-0.7740279323699676,1.3121258284043562
619,M143,7,-0.6893523034182245,-0.2939611348788041
624,M177,2,-0.19274283008913806,0.07698677167425677
631,M120,1,0.448573721430324,-0.3377059120292078
637,M272,1,0.5427533450533418,-0.021889860168475536
640,M356,7,-0.3415608488587322,-1.036340093985947
643,M318,9,-0.14459328724191436,-1.0303193788184926
645,M213,2,0.6428907487508673,-0.016261019025396926
649,M362,33,-0.8466364169117572,-1.1852240572510921
655,M062,3,-0.6823731831305314,0.4443534298115905
662,M011,4,0.18319453309083858,-0.1442518264341617
694,M447,1,-0.0007867929844718138,0.13911778012003714
703,M446,1,-0.033804844765073866,1.003742372233095
707,M277,6,-1.6118920329797832,1.0049709370186246
710,M265,10,-1.847148741605277,0.10863682858568326
711,M359,6,-0.5851621593290119,-0.8289015759273024
721,M058,9,0.20783333951674898,-0.7547247308817812
729,M017,2,0.5768005495961136,-0.0768123249071427
731,M135,3,-0.474521446867298,1.0488982268616187
739,M312,9,-1.0315973344883997,-0.6974908650800822
748,M003,12,-1.8702470292129503,0.029039395089528044
758,M242,4,0.15231668874058757,-0.5029717983015798
766,M172,1,0.11230621971047308,0.5399461629924793
772,M253,1,0.7256454734448714,0.12896136938105254
774,M252,3,-0.21918498648025184,-0.49562775803168696
777,M111,6,-0.3867028636712414,-1.1694886759168164
778,M379,10,-0.8105407640177259,-1.0542592151579377
779,M401,1,-0.14151233110725933,0.19618533579826833
785,M357,4,0.017688398367444194,-0.5400365760623949
786,M089,3,0.4298263771108211,-0.10508191400388191
796,M452,1,0.24915020123986778,0.4508538340725005
797,M044,12,-1.3070612378887763,-1.4260488233626616
806,M358,1,0.1168338169981638,0.8691074957474724
809,M105,6,-1.2747451330953055,0.17120345740374437
833,M098,4,-0.2627672681715815,-0.21690356300292987
849,M015,2,0.13298458551141876,0.2027607261818693
853,M126,6,0.307059188596457,-0.34600582302066574
854,M421,1,-0.029005064357845018,0.753953812410971
860,M289,1,0.33733251764188993,0.368755811924859
862,M115,1,0.38190428472535204,0.06972560784286924
874,M180,7,-0.6693059879147865,-0.9992205628064207
877,M424,1,0.4564799919172555,-0.03431568219337633
884,M056,11,-1.5933080890569216,-0.5240036692616241
886,M255,2,0.05675907415871213,-0.303280045787365
889,M215,1,-0.14390856516247028,0.21211569834096547
917,M034,1,0.6136596943157935,0.15387762223622045
933,M382,2,-0.22160216101779037,-0.24996371771530393
